dataset_id	resource	accession	modality	cohort/unit	manuscript_role	public_url_or_source	raw_data_redistributed	access_notes	public_module
CGGA325	CGGA	mRNAseq_325	bulk RNA-seq	73 adult primary IDH-wildtype patients	R1 convergence;R5 association	https://www.cgga.org.cn/	NO	Obtain expression and matched clinical metadata; strict eligibility required. Aggregate validation only in current candidate.	99_validate_release.R
CGGA693	CGGA	mRNAseq_693	bulk RNA-seq	108 adult primary IDH-wildtype patients	R1 convergence;R5 association	https://www.cgga.org.cn/	NO	Obtain expression and matched clinical metadata; strict eligibility required. Aggregate validation only in current candidate.	99_validate_release.R
GBmap-Bhaduri2020	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Bhaduri2020;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Bhaduri2020;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-Couturier2020	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Couturier2020;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Couturier2020;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-GSE131928	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset GSE131928;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Neftel2019 (Smart-seq2);donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-Johnson2020	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Johnson2020;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Johnson2020;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-Richards2021	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Richards2021;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Richards2021;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-Yu2020	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Yu2020;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Yu2020;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GBmap-Yuan2018	GBmap	Core GBmap c888b684-6c51-431f-972a-6c963044cef0;asset 861acfd8-25f0-418b-a445-aa96da232827	single-cell RNA-seq	Source subset Yuan2018;66 patients total;59 paired across7 studies	R1 localization;R5 localization	https://datasets.cellxgene.cziscience.com/861acfd8-25f0-418b-a445-aa96da232827.h5ad	NO	Frozen Core GBmap raw/X;author=Yuan2018;donor_id grouping. Collection999f2a15-3d7e-440b-96ae-2c806799c08c;version837edb8f-956e-44ac-bd98-261b5a61a5b2. Study is a subset of the same atlas,not independent atlas replication.	99_validate_release.R
GSE237183	GEO	GSE237183	spatial transcriptomics	17 patients combined across two resources	R1 spatial convergence;R5 spatial support	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237183	NO	Within-section normalization; patient-level aggregation; no spot matrix redistributed.	99_validate_release.R
GSE242352	GEO	GSE242352	spatial transcriptomics	17 patients combined across two resources	R1 spatial convergence;R5 spatial support	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242352	NO	Within-section normalization; patient-level aggregation; no spot matrix redistributed.	99_validate_release.R
GBM-Space	GBM-Space	official GBM-Space portal	multi-region snRNA-seq	R1:57 ALL_AUTHOR_ANNOTATED regions/12patients;R4:57 MALIGNANT_ONLY regional pseudobulks/12donors	R1 external transfer;R4 design;R5 recovery	https://www.gbmspace.org/	NO	Obtain counts and author region/cell annotations. Prepared-array contract in DATA_ACCESS; automated raw preprocessing not packaged.	02_patient_external_transfer.py;05_design_capability.R
Ivy	Ivy GAP/GEO	GSE107559	laser-microdissected RNA-seq	122 wells;47 specimens;10 tumours	R2 anatomy;R4 tissue-scope control;R5 qualification	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107559	NO	ALL5 labels LE,IT,CT,PAN,MVP; original gene standardization and order required.	03_anatomical_resolution.py;05_design_capability.R
GeoMx-GBM	Zenodo/Artzi et al.	10.5281/zenodo.16839828	GeoMx	413 AOIs;26 patients;98 patient/time/enrichment aggregates	R2 source-state resolution	https://doi.org/10.5281/zenodo.16839828	NO	Retrieve normalized.txt,metadata.csv,sampleAnno.xlsx and Hs_R_NGS_WTA_v1.0.pkc archives; select IDH-wildtype and source enrichments.	99_validate_release.R
CARE	GEO/CARE	GSE274546;GSE274548;10.5281/zenodo.14966015	longitudinal snRNA-seq	56 paired patients;46 composition-qualified;53 sensitivity	R1 secondary transfer;R3 longitudinal context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274546	NO	Companion publications share one resource. Processed data public; raw/clinical access may be controlled.	04_longitudinal_deformation.py
