module	key	expected	observed	tolerance	status
02	median_CV_R2	0.17525034112478088	0.17525034112478088	1e-12	PASS
02	bootstrap_CI_low	0.10376469497212315	0.10376469497212315	1e-12	PASS
02	bootstrap_CI_high	0.2761763469795455	0.2761763469795455	1e-12	PASS
03	ALL5_BA	0.3500526315789473	0.35005263157894734	1e-12	PASS
03	CORE3_BA	0.4744444444444444	0.47444444444444445	1e-12	PASS
03	PAN_MVP_BA	0.6541666666666667	0.6541666666666667	1e-12	PASS
03	ALL5_partial_R2	0.4038960656015303	0.4038960656015302	1e-12	PASS
03	ALL5_associated	195	195	0	PASS
03	ALL5_BA_ge_0.60	2	2	0	PASS
04	CARE_k2	0.761369297659027	0.761369297659027	1e-12	PASS
04	CARE_k16	0.38287436971914457	0.3828743697191447	1e-12	PASS
04	GLASS_k2	0.5901031458183693	0.5901031458183694	1e-12	PASS
04	GLASS_k12	0.32072047999642456	0.32072047999642483	1e-12	PASS
04	GSE174554_k2	0.7303851226616707	0.7303851226616711	1e-12	PASS
04	GSE174554_k11	0.5064151789333295	0.5064151789333298	1e-12	PASS
07	patient_n	56	56	0	PASS
07	observed_median	10.622147455181775	10.622147455181775	1e-12	PASS
07	null_median	3.6800019805663737	3.6800019805663737	1e-12	PASS
07	above_own_95	54	54	0	PASS
07	composition_n	46	46	0	PASS
07	composition_energy	0.09247955248627365	0.09247955248627374	1e-12	PASS
07	reconstruction_cosine	0.9154384849500012	0.9154384849500015	1e-12	PASS
07	sensitivity_n	53	53	0	PASS
07	sensitivity_energy	0.0917841676274787	0.09178416762747882	1e-12	PASS
