model_instance_id	gene_symbol
LEGACY-E001-M01	COL5A1
LEGACY-E001-M01	MFGE8
LEGACY-E001-M01	MSH6
LEGACY-E001-M01	NF1
LEGACY-E001-M01	PGPEP1
LEGACY-E001-M01	PIK3CA
LEGACY-E007-M01	BMP2
LEGACY-E007-M01	PTX3
LEGACY-E007-M01	TNFSF9
LEGACY-E011-M01	IGFBP2
LEGACY-E011-M01	NOD2
LEGACY-E011-M01	TCF3
LEGACY-E011-M01	TYRO3
LEGACY-E012-M01	COL1A2
LEGACY-E012-M01	COL3A1
LEGACY-E012-M01	COL5A1
LEGACY-E012-M01	ITGA5
LEGACY-E012-M01	LAMC1
LEGACY-E012-M01	MET
LEGACY-E014-M01	KCNB1
LEGACY-E014-M01	KCNJ10
LEGACY-E014-M01	KCNN4
LEGACY-E016-M01	C9ORF64
LEGACY-E016-M01	GNS
LEGACY-E016-M01	GZMB
LEGACY-E016-M01	MXRA8
LEGACY-E016-M01	OSMR
LEGACY-E016-M01	PDIA4
LEGACY-E016-M01	PDLIM4
LEGACY-E016-M01	SLC16A13
LEGACY-E016-M01	STC1
LEGACY-S001-M01	HOXC10
LEGACY-S001-M01	OSMR
LEGACY-S001-M01	SCARA3
LEGACY-S001-M01	SLC39A10
LEGACY-S003-M01	ALOX5
LEGACY-S003-M01	ATP5MC3
LEGACY-S003-M01	CHAC1
LEGACY-S003-M01	CRYAB
LEGACY-S003-M01	MT1G
LEGACY-S003-M01	NCOA4
LEGACY-S003-M01	STEAP3
LEGACY-S003-M01	ZEB1
LEGACY-S005-M01	G6PC3
LEGACY-S005-M01	IGFBP2
LEGACY-S005-M01	PTPRN
LEGACY-S005-M01	RGS14
LEGACY-S005-M01	TIMP4
LEGACY-S006-M01	CCL2
LEGACY-S006-M01	CTSD
LEGACY-S006-M01	DRAM1
LEGACY-S006-M01	HSPA5
LEGACY-S006-M01	LENG9
LEGACY-S006-M01	MSTN
LEGACY-S006-M01	MTMR14
LEGACY-S006-M01	P4HB
LEGACY-S006-M01	PHYHIP
LEGACY-S006-M01	RRAGB
LEGACY-S006-M01	S100A8
LEGACY-S006-M01	TCIRG1
LEGACY-S006-M01	UBQLN4
LEGACY-S006-M01	ZKSCAN3
LEGACY-S007-M01	BMPR1A
LEGACY-S007-M01	CTSB
LEGACY-S007-M01	CXCL2
LEGACY-S007-M01	NFKBIZ
LEGACY-S007-M01	OSMR
LEGACY-S007-M01	SEMA4F
LEGACY-S007-M01	TNFSF14
LEGACY-S009-M01	ARPC1B
LEGACY-S009-M01	FCGR2B
LEGACY-S009-M01	NCF2
LEGACY-S009-M01	PLAUR
LEGACY-S009-M01	S100A11
LEGACY-S012-M01	AQP9
LEGACY-S012-M01	AREG
LEGACY-S012-M01	CLCF1
LEGACY-S012-M01	GRN
LEGACY-S012-M01	IGLV6-57
LEGACY-S012-M01	PLAUR
LEGACY-S012-M01	PTX3
LEGACY-S012-M01	SDC2
LEGACY-S012-M01	TNFRSF14
LEGACY-S012-M01	VGF
LEGACY-V001-M01	AMPH
LEGACY-V001-M01	CTSB
LEGACY-V001-M01	FN1
LEGACY-V001-M01	GALNT6
LEGACY-V001-M01	PLAT
LEGACY-V001-M01	SCG5
LEGACY-V001-M01	TIMP1
LEGACY-V003-M01	CTSB
LEGACY-V003-M01	KLF10
LEGACY-V003-M01	PLAUR
LEGACY-V003-M01	PTPRN
LEGACY-V003-M01	RARRES2
LEGACY-V003-M01	TIMP1
LEGACY-V004-M01	AHR
LEGACY-V004-M01	BDKRB1
LEGACY-V004-M01	CD14
LEGACY-V004-M01	CLEC5A
LEGACY-V004-M01	DCBLD2
LEGACY-V004-M01	EREG
LEGACY-V004-M01	LTA
LEGACY-V004-M01	LY6E
LEGACY-V004-M01	SLC4A4
LEGACY-V005-M01	COL22A1
LEGACY-V005-M01	CRYGN
LEGACY-V005-M01	GZMB
LEGACY-V005-M01	MSTN
LEGACY-V005-M01	OSMR
LEGACY-V006-M01	ADAMTS14
LEGACY-V006-M01	BDKRB2
LEGACY-V006-M01	FOSL1
LEGACY-V006-M01	PLAUR
LEGACY-V006-M01	TIMP1
LEGACY-V007-M01	COL5A1
LEGACY-V007-M01	COL6A1
LEGACY-V007-M01	FN1
LEGACY-V007-M01	ITGA5
LEGACY-V007-M01	MMP14
LEGACY-V009-M01	MAPK1
LEGACY-V009-M01	P2RX1
LEGACY-V009-M01	PARVB
LEGACY-V009-M01	STAT3
LEGACY-V010-M01	CP
LEGACY-V010-M01	IGFBP2
LEGACY-V010-M01	LOX
LEGACY-V011-M01	GJB2
LEGACY-V011-M01	KCNH6
LEGACY-V011-M01	KCNN4
LEGACY-V012-M01	CA14
LEGACY-V012-M01	COL22A1
LEGACY-V012-M01	FERMT1
LEGACY-V012-M01	IGFBP6
LEGACY-V012-M01	SOD3
LEGACY-V012-M01	TIMP4
LEGACY-V012-M01	UPP1
LEGACY-V013-M01	C21ORF62
