model_instance_id	scoring_feature_id	feature_type
PF4C-B1-001	10630	Entrez Gene ID
PF4C-B1-001	11000	Entrez Gene ID
PF4C-B1-001	11068	Entrez Gene ID
PF4C-B1-001	1116	Entrez Gene ID
PF4C-B1-001	1819	Entrez Gene ID
PF4C-B1-001	2887	Entrez Gene ID
PF4C-B1-001	3281	Entrez Gene ID
PF4C-B1-001	3383	Entrez Gene ID
PF4C-B1-001	3669	Entrez Gene ID
PF4C-B1-001	3964	Entrez Gene ID
PF4C-B1-001	4016	Entrez Gene ID
PF4C-B1-001	4192	Entrez Gene ID
PF4C-B1-001	4223	Entrez Gene ID
PF4C-B1-001	4478	Entrez Gene ID
PF4C-B1-001	4493	Entrez Gene ID
PF4C-B1-001	4599	Entrez Gene ID
PF4C-B1-001	4615	Entrez Gene ID
PF4C-B1-001	487	Entrez Gene ID
PF4C-B1-001	5154	Entrez Gene ID
PF4C-B1-001	597	Entrez Gene ID
PF4C-B1-001	622	Entrez Gene ID
PF4C-B1-001	6279	Entrez Gene ID
PF4C-B1-001	6383	Entrez Gene ID
PF4C-B1-001	6988	Entrez Gene ID
PF4C-B1-001	6990	Entrez Gene ID
PF4C-B1-001	7132	Entrez Gene ID
PF4C-B1-001	716	Entrez Gene ID
PF4C-B1-001	7253	Entrez Gene ID
PF4C-B1-001	8324	Entrez Gene ID
PF4C-B1-001	9332	Entrez Gene ID
PF4C-B1-001	9922	Entrez Gene ID
PF4C-B1-002	CCL2	Gene expression
PF4C-B1-002	IGFBP2	Gene expression
PF4C-B1-002	PDPN	Gene expression
PF4C-B1-002	SLC12A5	Gene expression
PF4C-B1-003	ANAPC15	Gene expression
PF4C-B1-003	ATP6V0C	Gene expression
PF4C-B1-003	BDH1	Gene expression
PF4C-B1-003	CBS	Gene expression
PF4C-B1-003	CCND2	Gene expression
PF4C-B1-003	CSRP1	Gene expression
PF4C-B1-003	FOLR2	Gene expression
PF4C-B1-003	IRF9	Gene expression
PF4C-B1-003	MGST1	Gene expression
PF4C-B1-003	PCP4	Gene expression
PF4C-B1-003	RAP1B	Gene expression
PF4C-B1-003	RAPGEF3	Gene expression
PF4C-B1-003	RPL39	Gene expression
PF4C-B1-003	SH3BP5	Gene expression
PF4C-B1-003	SKP1	Gene expression
PF4C-B1-003	ST8SIA3	Gene expression
PF4C-B1-003	U2AF1	Gene expression
PF4C-B1-004	CCL20	Gene expression
PF4C-B1-004	CDK6	Gene expression
PF4C-B1-004	MCM7	Gene expression
PF4C-B1-004	ORC1	Gene expression
PF4C-B1-004	POLA1	Gene expression
PF4C-B1-004	TIAM1	Gene expression
PF4C-B1-004	TNFRSF12A	Gene expression
PF4C-B1-004	TRAF1	Gene expression
PF4C-B1-005	CDK1	gene symbol
PF4C-B1-005	FDX1	gene symbol
PF4C-B1-005	LOXL2	gene symbol
PF4C-B1-005	LOXL3	gene symbol
PF4C-B1-005	NFE2L2	gene symbol
PF4C-B1-005	SLC31A1	gene symbol
PF4C-B1-005	SUMF1	gene symbol
PF4C-B1-006	ACTN1	gene symbol
PF4C-B1-006	CHI3L1	gene symbol
PF4C-B1-006	CLU	gene symbol
PF4C-B1-006	EFEMP1	gene symbol
PF4C-B1-006	EMP1	gene symbol
PF4C-B1-006	IGFBP7	gene symbol
PF4C-B1-006	MAP1B	gene symbol
PF4C-B1-006	MT2A	gene symbol
PF4C-B1-006	NNMT	gene symbol
PF4C-B1-006	PAM	gene symbol
PF4C-B1-006	TPST1	gene symbol
PF4C-B1-007	CCL2	gene symbol
PF4C-B1-007	CCR2	gene symbol
PF4C-B1-007	CXCL10	gene symbol
PF4C-B1-007	IL10RB	gene symbol
PF4C-B1-007	IL17B	gene symbol
PF4C-B1-007	IL17RA	gene symbol
PF4C-B1-008	CALCRL	Gene expression
PF4C-B1-008	EMP3	Gene expression
PF4C-B1-008	GNAI3	Gene expression
PF4C-B1-008	ITGA5	Gene expression
PF4C-B1-008	NFKBIA	Gene expression
PF4C-B1-008	NMI	Gene expression
PF4C-B1-008	PCDH7	Gene expression
PF4C-B1-008	TIMP1	Gene expression
PF4C-B1-009	DIRAS3	Gene expression
PF4C-B1-009	FBXO39	Gene expression
PF4C-B1-009	HILS1	Gene expression
PF4C-B1-009	MYBL1	Gene expression
PF4C-B1-009	TEX26	Gene expression
PF4C-B1-011	ATG9B	Gene expression
PF4C-B1-011	HSPA5	Gene expression
PF4C-B1-011	ITGA3	Gene expression
PF4C-B1-011	RAC1	Gene expression
PF4C-B1-012	HTR1A	Gene expression
PF4C-B1-012	PAX3	Gene expression
PF4C-B1-012	RETN	Gene expression
PF4C-B1-012	VEPH1	Gene expression
PF4C-B1-013	COL1A2	Gene expression
PF4C-B1-013	COL4A1	Gene expression
PF4C-B1-013	ITGB4	Gene expression
PF4C-B1-013	MAPK10	Gene expression
PF4C-B1-013	PRKCB	Gene expression
PF4C-B1-013	PRKCG	Gene expression
PF4C-B1-013	RELN	Gene expression
PF4C-B1-013	TNC	Gene expression
PF4C-B1-014	CRYAB	gene symbol
PF4C-B1-014	MT1G	gene symbol
PF4C-B1-014	STEAP3	gene symbol
PF4C-B1-015	BCL2L2	gene symbol
PF4C-B1-015	PRDX1	gene symbol
PF4C-B1-015	SEC61B	gene symbol
PF4C-B1-015	XRCC5	gene symbol
PF4C-B1-016	AOAH	Gene expression
PF4C-B1-016	CASP1	Gene expression
PF4C-B1-016	GBP1	Gene expression
PF4C-B1-016	GBP2	Gene expression
PF4C-B1-016	GBP3	Gene expression
PF4C-B1-016	HMOX1	Gene expression
PF4C-B1-016	IL18	Gene expression
PF4C-B1-016	IRAK4	Gene expression
PF4C-B1-016	RELB	Gene expression
PF4C-B1-016	TIGAR	Gene expression
PF4C-B1-016	TP53	Gene expression
PF4C-B1-017	CASP3	Gene expression
PF4C-B1-017	DPP9	Gene expression
PF4C-B1-017	MAPK8	Gene expression
PF4C-B1-017	PELP1	Gene expression
PF4C-B1-017	TOMM20	Gene expression
PF4C-B1-019	AOX1	Gene expression
PF4C-B1-019	CANT1	Gene expression
PF4C-B1-019	IMPDH1	Gene expression
PF4C-B1-019	NUDT5	Gene expression
PF4C-B1-019	PDE2A	Gene expression
PF4C-B1-019	POLR1D	Gene expression
PF4C-B1-019	POLR3A	Gene expression
PF4C-B1-019	POLR3GL	Gene expression
PF4C-B1-019	POLR3H	Gene expression
PF4C-B1-019	PPAT	Gene expression
PF4C-B1-019	RRM2	Gene expression
PF4C-B1-020	ALDH2	Gene expression
PF4C-B1-020	GNMT	Gene expression
PF4C-B1-020	PSPH	Gene expression
PF4C-B1-020	SARDH	Gene expression
PF4C-B1-020	SHMT1	Gene expression
PF4C-B1-021	BTK	Gene expression
PF4C-B1-021	CFH	Gene expression
PF4C-B1-021	CFI	Gene expression
PF4C-B1-021	F3	Gene expression
PF4C-B1-021	GNAI3	Gene expression
PF4C-B1-021	ITGB1	Gene expression
PF4C-B1-021	LYN	Gene expression
PF4C-B1-024	ATG7	Gene expression
PF4C-B1-024	CISD2	Gene expression
PF4C-B1-024	EIF2AK4	Gene expression
PF4C-B1-024	HMOX1	Gene expression
PF4C-B1-024	HSPB1	Gene expression
PF4C-B1-024	MTDH	Gene expression
PF4C-B1-024	MTOR	Gene expression
PF4C-B1-024	PRKAA2	Gene expression
PF4C-B1-024	SIRT1	Gene expression
PF4C-B1-025	FOXP3	gene symbol
PF4C-B1-025	IL6	gene symbol
PF4C-B1-025	LY96	gene symbol
PF4C-B1-025	MYD88	gene symbol
PF4C-B1-025	PDIA3	gene symbol
PF4C-B1-026	CHPF2	gene symbol
PF4C-B1-026	COLGALT2	gene symbol
PF4C-B1-026	EXT2	gene symbol
PF4C-B1-026	GALNT13	gene symbol
PF4C-B1-026	PYGL	gene symbol
PF4C-B1-027	FAM241B	Gene expression
PF4C-B1-027	IGFBP2	Gene expression
PF4C-B1-027	LOXL1	Gene expression
PF4C-B1-027	LSM2	Gene expression
PF4C-B1-027	OSMR	Gene expression
PF4C-B1-027	STOX1	Gene expression
PF4C-B1-028	LITAF	Gene expression
PF4C-B1-028	OSMR	Gene expression
PF4C-B1-028	TCF12	Gene expression
PF4C-B1-029	ANKH	Gene expression
PF4C-B1-029	CCT6A	Gene expression
PF4C-B1-029	GOS2	Gene expression
PF4C-B1-029	NAGLU	Gene expression
PF4C-B1-029	NCOA4	Gene expression
PF4C-B1-029	NSUN5	Gene expression
PF4C-B1-029	TSPAN4	Gene expression
PF4C-B1-029	WDR46	Gene expression
PF4C-B2-001	CYGB	Gene expression
PF4C-B2-001	DUSP6	Gene expression
PF4C-B2-001	IGFBP4	Gene expression
PF4C-B2-001	LOXL1	Gene expression
PF4C-B2-001	VWA1	Gene expression
PF4C-B2-001	ZIC3	Gene expression
PF4C-B2-002	FCGR2B	gene symbol
PF4C-B2-002	MXRA5	gene symbol
PF4C-B2-002	TNFRSF9	gene symbol
PF4C-B2-002	TNFSF14	gene symbol
PF4C-B2-003	MEOX2	Gene expression
PF4C-B2-003	PHYHIP	Gene expression
PF4C-B2-003	RBBP8	Gene expression
PF4C-B2-003	ST18	Gene expression
PF4C-B2-003	TCF12	Gene expression
PF4C-B2-003	THRB	Gene expression
PF4C-B2-005	BEX5	gene symbol
PF4C-B2-005	CNPY4	gene symbol
PF4C-B2-005	LRRTM3	gene symbol
PF4C-B2-005	MXRA8	gene symbol
PF4C-B2-005	SCG5	gene symbol
PF4C-B2-005	TIMP4	gene symbol
PF4C-B2-005	VGF	gene symbol
PF4C-B2-005	ZNF22	gene symbol
PF4C-B2-005	ZNF627	gene symbol
PF4C-B2-006	FMOD	Gene expression
PF4C-B2-006	MXRA5	Gene expression
PF4C-B2-006	RAB36	Gene expression
PF4C-B2-007	CYGB	Gene expression
PF4C-B2-007	IGFBP6	Gene expression
PF4C-B2-007	NNAT	Gene expression
PF4C-B2-008	C5AR1	gene symbol
PF4C-B2-008	F2RL2	gene symbol
PF4C-B2-008	GP6	gene symbol
PF4C-B2-008	PLAUR	gene symbol
PF4C-B2-008	SERPINA5	gene symbol
PF4C-B2-009	CBLN1	Gene expression
PF4C-B2-009	DUSP6	Gene expression
PF4C-B2-009	PDIA4	Gene expression
PF4C-B2-009	PILRB	Gene expression
PF4C-B2-009	PTPRN	Gene expression
PF4C-B2-010	AP1S1	Gene expression
PF4C-B2-010	CTSD	Gene expression
PF4C-B2-010	IER3	Gene expression
PF4C-B2-010	YWHAG	Gene expression
PF4C-B2-013	MAP1LC3A	Gene expression
PF4C-B2-013	PHB2	Gene expression
PF4C-B2-013	TOMM20	Gene expression
PF4C-B2-013	UBA52	Gene expression
PF4C-B2-014	KDELR2	Gene expression
PF4C-B2-014	RPS4X	Gene expression
PF4C-B2-014	SLC40A1	Gene expression
PF4C-B2-014	TUBA1C	Gene expression
PF4C-B2-015	BCAT1	Gene expression
PF4C-B2-015	C16ORF86	Gene expression
PF4C-B2-015	HPX	Gene expression
PF4C-B2-015	NNMT	Gene expression
PF4C-B2-015	RAB42	Gene expression
PF4C-B2-015	TBX5	Gene expression
PF4C-B2-015	TNFRSF19	Gene expression
PF4C-B2-015	TRPC5	Gene expression
PF4C-B2-016	IL1R1	gene symbol
PF4C-B2-016	TNFSF12	gene symbol
PF4C-B2-016	VDR	gene symbol
PF4C-B2-017	B4GALT7	Gene expression
PF4C-B2-017	CHST12	Gene expression
PF4C-B2-017	G6PC2	Gene expression
PF4C-B2-017	GALE	Gene expression
PF4C-B2-017	IL13RA1	Gene expression
PF4C-B2-017	LDHB	Gene expression
PF4C-B2-017	SPAG4	Gene expression
PF4C-B2-017	STC1	Gene expression
PF4C-B2-017	TGFBI	Gene expression
