program_id	gene_symbol_normalized	frozen_order
HYPOXIA	PGK1	1
HYPOXIA	PDK1	2
HYPOXIA	GBE1	3
HYPOXIA	PFKL	4
HYPOXIA	ALDOA	5
HYPOXIA	ENO2	6
HYPOXIA	PGM1	7
HYPOXIA	NDRG1	8
HYPOXIA	HK2	9
HYPOXIA	ALDOC	10
HYPOXIA	GPI	11
HYPOXIA	MXI1	12
HYPOXIA	SLC2A1	13
HYPOXIA	P4HA1	14
HYPOXIA	ADM	15
HYPOXIA	P4HA2	16
HYPOXIA	ENO1	17
HYPOXIA	PFKP	18
HYPOXIA	AK4	19
HYPOXIA	FAM162A	20
HYPOXIA	PFKFB3	21
HYPOXIA	VEGFA	22
HYPOXIA	BNIP3L	23
HYPOXIA	TPI1	24
HYPOXIA	ERO1A	25
HYPOXIA	KDM3A	26
HYPOXIA	CCNG2	27
HYPOXIA	LDHA	28
HYPOXIA	GYS1	29
HYPOXIA	GAPDH	30
HYPOXIA	BHLHE40	31
HYPOXIA	ANGPTL4	32
HYPOXIA	JUN	33
HYPOXIA	SERPINE1	34
HYPOXIA	LOX	35
HYPOXIA	GCK	36
HYPOXIA	PPFIA4	37
HYPOXIA	MAFF	38
HYPOXIA	DDIT4	39
HYPOXIA	SLC2A3	40
HYPOXIA	IGFBP3	41
HYPOXIA	NFIL3	42
HYPOXIA	FOS	43
HYPOXIA	RBPJ	44
HYPOXIA	HK1	45
HYPOXIA	CITED2	46
HYPOXIA	ISG20	47
HYPOXIA	GALK1	48
HYPOXIA	WSB1	49
HYPOXIA	PYGM	50
HYPOXIA	STC1	51
HYPOXIA	ZNF292	52
HYPOXIA	BTG1	53
HYPOXIA	PLIN2	54
HYPOXIA	CSRP2	55
HYPOXIA	VLDLR	56
HYPOXIA	JMJD6	57
HYPOXIA	EXT1	58
HYPOXIA	F3	59
HYPOXIA	PDK3	60
HYPOXIA	ANKZF1	61
HYPOXIA	UGP2	62
HYPOXIA	ALDOB	63
HYPOXIA	STC2	64
HYPOXIA	ERRFI1	65
HYPOXIA	ENO3	66
HYPOXIA	PNRC1	67
HYPOXIA	HMOX1	68
HYPOXIA	PGF	69
HYPOXIA	GAPDHS	70
HYPOXIA	CHST2	71
HYPOXIA	TMEM45A	72
HYPOXIA	BCAN	73
HYPOXIA	ATF3	74
HYPOXIA	CAV1	75
HYPOXIA	AMPD3	76
HYPOXIA	GPC3	77
HYPOXIA	NDST1	78
HYPOXIA	IRS2	79
HYPOXIA	SAP30	80
HYPOXIA	GAA	81
HYPOXIA	SDC4	82
HYPOXIA	STBD1	83
HYPOXIA	IER3	84
HYPOXIA	PKLR	85
HYPOXIA	IGFBP1	86
HYPOXIA	PLAUR	87
HYPOXIA	CAVIN3	88
HYPOXIA	CCN5	89
HYPOXIA	LARGE1	90
HYPOXIA	NOCT	91
HYPOXIA	S100A4	92
HYPOXIA	RRAGD	93
HYPOXIA	ZFP36	94
HYPOXIA	EGFR	95
HYPOXIA	EDN2	96
HYPOXIA	IDS	97
HYPOXIA	CDKN1A	98
HYPOXIA	RORA	99
HYPOXIA	DUSP1	100
HYPOXIA	MIF	101
HYPOXIA	PPP1R3C	102
HYPOXIA	DPYSL4	103
HYPOXIA	KDELR3	104
HYPOXIA	DTNA	105
HYPOXIA	ADORA2B	106
HYPOXIA	HS3ST1	107
HYPOXIA	CAVIN1	108
HYPOXIA	NR3C1	109
HYPOXIA	KLF6	110
HYPOXIA	GPC4	111
HYPOXIA	CCN1	112
HYPOXIA	TNFAIP3	113
HYPOXIA	CA12	114
HYPOXIA	HEXA	115
HYPOXIA	BGN	116
HYPOXIA	PPP1R15A	117
HYPOXIA	PGM2	118
HYPOXIA	PIM1	119
HYPOXIA	PRDX5	120
HYPOXIA	NAGK	121
HYPOXIA	CDKN1B	122
