signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ABI3BP	ABI3BP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ACTA2	ACTA2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ADAM12	ADAM12	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ANPEP	ANPEP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	APLP1	APLP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	AREG	AREG	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	BASP1	BASP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	BDNF	BDNF	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	BGN	BGN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	BMP1	BMP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CADM1	CADM1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CALD1	CALD1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CALU	CALU	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CAP2	CAP2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CAPG	CAPG	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CCN1	CCN1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CCN2	CCN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CD44	CD44	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CD59	CD59	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CDH11	CDH11	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CDH2	CDH2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CDH6	CDH6	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL11A1	COL11A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL12A1	COL12A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL16A1	COL16A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL1A1	COL1A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL1A2	COL1A2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL3A1	COL3A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL4A1	COL4A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL4A2	COL4A2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL5A1	COL5A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL5A2	COL5A2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL5A3	COL5A3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL6A2	COL6A2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL6A3	COL6A3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL7A1	COL7A1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COL8A2	COL8A2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COLGALT1	COLGALT1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COMP	COMP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	COPA	COPA	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CRLF1	CRLF1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CTHRC1	CTHRC1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CXCL1	CXCL1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CXCL12	CXCL12	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CXCL6	CXCL6	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	CXCL8	CXCL8	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	DAB2	DAB2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	DCN	DCN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	DKK1	DKK1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	DPYSL3	DPYSL3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	DST	DST	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ECM1	ECM1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ECM2	ECM2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	EDIL3	EDIL3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	EFEMP2	EFEMP2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ELN	ELN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	EMP3	EMP3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ENO2	ENO2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FAP	FAP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FAS	FAS	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN1	FBLN1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN2	FBLN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN5	FBLN5	MSigDB Hallmark EMT
