dataset_label	geometry_component	k	estimate	patient_n
CARE	centroid_translation	7	3.3291075710085303	56
CARE	subspace_rotation_max_principal_angle_deg	7	76.61231938926461	56
CARE	subspace_rotation_mean_principal_angle_deg	7	34.03392887437008	56
CARE	variance_expansion_topk_trace_ratio	7	1.0117180855617325	56
CARE	recurrent_direction_1_variance_ratio	7	0.9784505500209556	56
CARE	recurrent_direction_2_variance_ratio	7	1.2222799997738918	56
CARE	recurrent_direction_3_variance_ratio	7	2.547983231050092	56
CARE	recurrent_direction_4_variance_ratio	7	1.4966455935812908	56
CARE	recurrent_direction_5_variance_ratio	7	1.2534533122517364	56
CARE	recurrent_direction_6_variance_ratio	7	1.0504374916633066	56
CARE	recurrent_direction_7_variance_ratio	7	1.5587863990144837	56
GLASS	centroid_translation	5	3.23311657656955	111
GLASS	subspace_rotation_max_principal_angle_deg	5	32.33164028180368	111
GLASS	subspace_rotation_mean_principal_angle_deg	5	16.250152830244794	111
GLASS	variance_expansion_topk_trace_ratio	5	1.3486655380152637	111
GLASS	recurrent_direction_1_variance_ratio	5	1.3765679069200008	111
GLASS	recurrent_direction_2_variance_ratio	5	1.7260464288117634	111
GLASS	recurrent_direction_3_variance_ratio	5	1.191630637562335	111
GLASS	recurrent_direction_4_variance_ratio	5	1.3355290452256237	111
GLASS	recurrent_direction_5_variance_ratio	5	1.1674334844596934	111
GSE174554	centroid_translation	2	4.7842435346095336	20
GSE174554	subspace_rotation_max_principal_angle_deg	2	85.10060177712613	20
GSE174554	subspace_rotation_mean_principal_angle_deg	2	54.13400256123356	20
GSE174554	variance_expansion_topk_trace_ratio	2	0.5307990574774871	20
GSE174554	recurrent_direction_1_variance_ratio	2	0.7444284549182124	20
GSE174554	recurrent_direction_2_variance_ratio	2	0.7418377765798025	20
