signature_id	q	sum	size	K_target	E_s_n	minimum_attainable_exact_p	alpha_adjudicable
PF4C-B1-004	0.25	1	20	1	10	0.0178571428571	True
PF4C-B1-004	0.5	9	20	2	10	0.000850340136054	True
PF4C-B1-004	0.75	9	20	3	10	0.000212585034014	True
PF4C-B1-004	1.0	20	20	4	10	2.12585034014e-05	True
PF4C-B4-007	0.25	0	20	2	10	0.00446428571429	True
PF4C-B4-007	0.5	2	20	4	10	5.31462585034e-05	True
PF4C-B4-007	0.75	17	20	5	10	1.32865646259e-05	True
PF4C-B4-007	1.0	20	20	7	10	3.32164115646e-07	True
PF4C-B4-029	0.25	0	20	2	10	0.00462962962963	True
PF4C-B4-029	0.5	0	20	4	10	5.78703703704e-05	True
PF4C-B4-029	0.75	0	20	5	10	1.44675925926e-05	True
PF4C-B4-029	1.0	0	20	7	10	3.87524801587e-07	True
PF4C-FINAL-053	0.25	0	20	1	8	0.25	False
PF4C-FINAL-053	0.5	0	20	1	8	0.25	False
PF4C-FINAL-053	0.75	0	20	2	8	0.0625	False
PF4C-FINAL-053	1.0	0	20	2	8	0.0625	False
PF4C-FINAL-054	0.25	0	20	2	11	0.00462962962963	True
PF4C-FINAL-054	0.5	0	20	4	11	5.78703703704e-05	True
PF4C-FINAL-054	0.75	0	20	6	11	3.61689814815e-06	True
PF4C-FINAL-054	1.0	0	20	8	11	9.68812003968e-08	True
PF4C-FINAL-055	0.25	5	20	2	11	0.00446428571429	True
PF4C-FINAL-055	0.5	0	20	4	11	5.31462585034e-05	True
PF4C-FINAL-055	0.75	0	20	5	11	1.32865646259e-05	True
PF4C-FINAL-055	1.0	0	20	7	11	3.32164115646e-07	True
PF4C-FINAL-056	0.25	3	20	1	12	0.0277777777778	True
PF4C-FINAL-056	0.5	7	20	2	12	0.00694444444444	True
PF4C-FINAL-056	0.75	5	20	2	12	0.00694444444444	True
PF4C-FINAL-056	1.0	20	20	3	12	0.00173611111111	True
PF4C-FINAL-079	0.25	0	20	2	11	0.00446428571429	True
PF4C-FINAL-079	0.5	0	20	3	11	0.000212585034014	True
PF4C-FINAL-079	0.75	0	20	5	11	1.32865646259e-05	True
PF4C-FINAL-079	1.0	0	20	6	11	1.32865646259e-06	True
