model_instance_id	patient_n	observation_n	balanced_accuracy
PF4C-B1-001	26	98	0.520408163265
PF4C-B1-002	26	98	0.65306122449
PF4C-B1-003	26	98	0.571428571429
PF4C-B1-004	26	98	0.591836734694
PF4C-B1-005	26	98	0.622448979592
PF4C-B1-006	26	98	0.724489795918
PF4C-B1-007	26	98	0.744897959184
PF4C-B1-008	26	98	0.510204081633
PF4C-B1-009	26	98	0.510204081633
PF4C-B1-011	26	98	0.551020408163
PF4C-B1-012	26	98	0.602040816327
PF4C-B1-013	26	98	0.744897959184
PF4C-B1-014	26	98	0.581632653061
PF4C-B1-015	26	98	0.489795918367
PF4C-B1-016	26	98	0.775510204082
PF4C-B1-017	26	98	0.520408163265
PF4C-B1-019	26	98	0.551020408163
PF4C-B1-020	26	98	0.571428571429
PF4C-B1-021	26	98	0.612244897959
PF4C-B1-024	26	98	0.510204081633
PF4C-B1-025	26	98	0.755102040816
PF4C-B1-026	26	98	0.632653061224
PF4C-B1-027	26	98	0.602040816327
PF4C-B1-028	26	98	0.448979591837
PF4C-B1-029	26	98	0.520408163265
PF4C-B2-001	26	98	0.581632653061
PF4C-B2-002	26	98	0.663265306122
PF4C-B2-003	26	98	0.602040816327
PF4C-B2-005	26	98	0.704081632653
PF4C-B2-006	26	98	0.551020408163
PF4C-B2-007	26	98	0.602040816327
PF4C-B2-008	26	98	0.744897959184
PF4C-B2-009	26	98	0.704081632653
PF4C-B2-010	26	98	0.785714285714
PF4C-B2-013	26	98	0.581632653061
PF4C-B2-014	26	98	0.581632653061
PF4C-B2-015	26	98	0.469387755102
PF4C-B2-016	26	98	0.69387755102
PF4C-B2-017	26	98	0.530612244898
PF4C-B2-018	26	98	0.663265306122
PF4C-B2-019	26	98	0.622448979592
PF4C-B2-021	26	98	0.744897959184
PF4C-B2-022	26	98	0.561224489796
PF4C-B2-023	26	98	0.80612244898
PF4C-B2-025	26	98	0.571428571429
PF4C-B2-026	26	98	0.448979591837
PF4C-B2-027	26	98	0.571428571429
PF4C-B2-028	26	98	0.673469387755
PF4C-B2-029	26	98	0.551020408163
PF4C-B2-030	26	98	0.510204081633
PF4C-B3-001	26	98	0.540816326531
PF4C-B3-002	26	98	0.785714285714
PF4C-B3-003	26	98	0.448979591837
PF4C-B3-005	26	98	0.622448979592
PF4C-B3-006	26	98	0.591836734694
PF4C-B3-007	26	98	0.581632653061
PF4C-B3-008	26	98	0.581632653061
PF4C-B3-009	26	98	0.622448979592
PF4C-B3-010	26	98	0.602040816327
PF4C-B3-013	26	98	0.540816326531
PF4C-B3-014	26	98	0.602040816327
PF4C-B3-015	26	98	0.612244897959
PF4C-B3-016	26	98	0.683673469388
PF4C-B3-017	26	98	0.642857142857
PF4C-B3-018	26	98	0.5
PF4C-B3-019	26	98	0.581632653061
PF4C-B3-020	26	98	0.714285714286
PF4C-B3-021	26	98	0.571428571429
PF4C-B3-023	26	98	0.448979591837
PF4C-B3-024	26	98	0.561224489796
PF4C-B3-025	26	98	0.602040816327
PF4C-B3-026	26	98	0.714285714286
PF4C-B3-028	26	98	0.622448979592
PF4C-B3-029	26	98	0.642857142857
PF4C-B4-001	26	98	0.581632653061
PF4C-B4-002	26	98	0.642857142857
PF4C-B4-003	26	98	0.591836734694
PF4C-B4-007	26	98	0.540816326531
PF4C-B4-009	26	98	0.673469387755
PF4C-B4-010	26	98	0.632653061224
PF4C-B4-011	26	98	0.5
PF4C-B4-012	26	98	0.755102040816
PF4C-B4-015	26	98	0.948979591837
PF4C-B4-016	26	98	0.561224489796
PF4C-B4-017	26	98	0.602040816327
PF4C-B4-018	26	98	0.561224489796
PF4C-B4-021	26	98	0.744897959184
PF4C-B4-023	26	98	0.836734693878
PF4C-B4-024	26	98	0.591836734694
PF4C-B4-025	26	98	0.510204081633
PF4C-B4-026	26	98	0.632653061224
PF4C-B4-027	26	98	0.489795918367
PF4C-B4-029	26	98	0.571428571429
PF4C-B4-030	26	98	0.612244897959
PF4C-FINAL-001	26	98	0.530612244898
PF4C-FINAL-002	26	98	0.561224489796
PF4C-FINAL-003	26	98	0.734693877551
PF4C-FINAL-004	26	98	0.561224489796
PF4C-FINAL-008	26	98	0.571428571429
PF4C-FINAL-009	26	98	0.785714285714
PF4C-FINAL-012	26	98	0.724489795918
PF4C-FINAL-016	26	98	0.530612244898
PF4C-FINAL-017	26	98	0.551020408163
PF4C-FINAL-018	26	98	0.765306122449
PF4C-FINAL-020	26	98	0.408163265306
PF4C-FINAL-022	26	98	0.632653061224
PF4C-FINAL-024	26	98	0.622448979592
PF4C-FINAL-025	26	98	0.673469387755
PF4C-FINAL-026	26	98	0.622448979592
PF4C-FINAL-028	26	98	0.581632653061
PF4C-FINAL-029	26	98	0.520408163265
PF4C-FINAL-032	26	98	0.683673469388
PF4C-FINAL-036	26	98	0.734693877551
PF4C-FINAL-037	26	98	0.551020408163
PF4C-FINAL-039	26	98	0.540816326531
PF4C-FINAL-041	26	98	0.581632653061
PF4C-FINAL-042	26	98	0.642857142857
PF4C-FINAL-043	26	98	0.540816326531
PF4C-FINAL-044	26	98	0.510204081633
PF4C-FINAL-045	26	98	0.489795918367
PF4C-FINAL-046	26	98	0.561224489796
PF4C-FINAL-049	26	98	0.540816326531
PF4C-FINAL-051	26	98	0.642857142857
PF4C-FINAL-052	26	98	0.591836734694
PF4C-FINAL-053	26	98	0.632653061224
PF4C-FINAL-054	26	98	0.438775510204
PF4C-FINAL-055	26	98	0.612244897959
PF4C-FINAL-056	26	98	0.663265306122
PF4C-FINAL-057	26	98	0.591836734694
PF4C-FINAL-058	26	98	0.704081632653
PF4C-FINAL-060	26	98	0.5
PF4C-FINAL-061	26	98	0.540816326531
PF4C-FINAL-062	26	98	0.591836734694
PF4C-FINAL-063	26	98	0.5
PF4C-FINAL-065	26	98	0.489795918367
PF4C-FINAL-066	26	98	0.571428571429
PF4C-FINAL-067	26	98	0.673469387755
PF4C-FINAL-068	26	98	0.591836734694
PF4C-FINAL-069	26	98	0.540816326531
PF4C-FINAL-070	26	98	0.704081632653
PF4C-FINAL-071	26	98	0.724489795918
PF4C-FINAL-073	26	98	0.632653061224
PF4C-FINAL-074	26	98	0.602040816327
PF4C-FINAL-078	26	98	0.724489795918
PF4C-FINAL-079	26	98	0.683673469388
PF4C-FINAL-080	26	98	0.530612244898
PF4C-FINAL-081	26	98	0.642857142857
PF4C-FINAL-082	26	98	0.65306122449
PF4C-FINAL-085	26	98	0.571428571429
PF4C-FINAL-086	26	98	0.785714285714
PF4C-FINAL-087	26	98	0.65306122449
PF4C-FINAL-092	26	98	0.561224489796
PF4C-FINAL-093	26	98	0.683673469388
PF4C-FINAL-094	26	98	0.510204081633
PF4C-FINAL-095	26	98	0.744897959184
PF4C-FINAL-096	26	98	0.683673469388
PF4C-FINAL-097	26	98	0.469387755102
PF4C-FINAL-099	26	98	0.602040816327
PF4C-FINAL-100	26	98	0.673469387755
PF4C-FINAL-102	26	98	0.744897959184
PF4C-FINAL-103	26	98	0.520408163265
LEGACY-V001-M01	26	98	0.581632653061
LEGACY-V003-M01	26	98	0.673469387755
LEGACY-V004-M01	26	98	0.714285714286
LEGACY-V005-M01	26	98	0.673469387755
LEGACY-V006-M01	26	98	0.622448979592
LEGACY-V007-M01	26	98	0.448979591837
LEGACY-V009-M01	26	98	0.591836734694
LEGACY-V010-M01	26	98	0.683673469388
LEGACY-V011-M01	26	98	0.581632653061
LEGACY-V012-M01	26	98	0.540816326531
LEGACY-V013-M01	26	98	0.663265306122
LEGACY-V016-M01	26	98	0.642857142857
LEGACY-V017-M01	26	98	0.673469387755
LEGACY-V018-M01	26	98	0.724489795918
LEGACY-V019-M01	26	98	0.836734693878
LEGACY-V020-M01	26	98	0.704081632653
LEGACY-V021-M01	26	98	0.530612244898
LEGACY-V022-M01	26	98	0.673469387755
LEGACY-V024-M01	26	98	0.755102040816
LEGACY-V025-M01	26	98	0.469387755102
LEGACY-V026-M01	26	98	0.65306122449
LEGACY-V027-M01	26	98	0.612244897959
LEGACY-V028-M01	26	98	0.540816326531
LEGACY-V029-M01	26	98	0.724489795918
LEGACY-E001-M01	26	98	0.69387755102
LEGACY-E007-M01	26	98	0.459183673469
LEGACY-E011-M01	26	98	0.602040816327
LEGACY-E012-M01	26	98	0.530612244898
LEGACY-E014-M01	26	98	0.5
LEGACY-E016-M01	26	98	0.530612244898
LEGACY-S001-M01	26	98	0.775510204082
LEGACY-S003-M01	26	98	0.795918367347
LEGACY-S005-M01	26	98	0.612244897959
LEGACY-S006-M01	26	98	0.683673469388
LEGACY-S007-M01	26	98	0.469387755102
LEGACY-S009-M01	26	98	0.918367346939
LEGACY-S012-M01	26	98	0.65306122449
