model_instance_id	evaluable_patient_n	final_class
PF4C-B1-001	59	malignant-dominant
PF4C-B1-002	59	malignant-dominant
PF4C-B1-003	59	malignant-dominant
PF4C-B1-004	59	malignant-dominant
PF4C-B1-005	59	unstable
PF4C-B1-006	59	malignant-dominant
PF4C-B1-007	59	TME-dominant
PF4C-B1-008	59	mixed
PF4C-B1-009	59	malignant-dominant
PF4C-B1-011	59	malignant-dominant
PF4C-B1-012	59	unstable
PF4C-B1-013	59	malignant-dominant
PF4C-B1-014	59	malignant-dominant
PF4C-B1-015	59	malignant-dominant
PF4C-B1-016	59	TME-dominant
PF4C-B1-017	59	malignant-dominant
PF4C-B1-019	59	malignant-dominant
PF4C-B1-020	59	malignant-dominant
PF4C-B1-021	59	unstable
PF4C-B1-024	59	unstable
PF4C-B1-025	59	TME-dominant
PF4C-B1-026	59	malignant-dominant
PF4C-B1-027	59	malignant-dominant
PF4C-B1-028	59	malignant-dominant
PF4C-B1-029	59	mixed
PF4C-B2-001	59	malignant-dominant
PF4C-B2-002	59	TME-dominant
PF4C-B2-003	59	malignant-dominant
PF4C-B2-005	59	malignant-dominant
PF4C-B2-006	59	malignant-dominant
PF4C-B2-007	59	malignant-dominant
PF4C-B2-008	59	TME-dominant
PF4C-B2-009	59	malignant-dominant
PF4C-B2-010	59	TME-dominant
PF4C-B2-013	59	malignant-dominant
PF4C-B2-014	59	unstable
PF4C-B2-015	59	malignant-dominant
PF4C-B2-016	59	TME-dominant
PF4C-B2-017	59	malignant-dominant
PF4C-B2-018	59	malignant-dominant
PF4C-B2-019	59	TME-dominant
PF4C-B2-021	59	TME-dominant
PF4C-B2-022	59	malignant-dominant
PF4C-B2-023	59	TME-dominant
PF4C-B2-025	59	malignant-dominant
PF4C-B2-026	59	malignant-dominant
PF4C-B2-027	59	unstable
PF4C-B2-028	59	TME-dominant
PF4C-B2-029	59	malignant-dominant
PF4C-B2-030	59	malignant-dominant
PF4C-B3-001	59	malignant-dominant
PF4C-B3-002	59	unstable
PF4C-B3-003	59	malignant-dominant
PF4C-B3-005	59	malignant-dominant
PF4C-B3-006	59	TME-dominant
PF4C-B3-007	59	unstable
