regime	q	null_world_n	blocked_rejections	blocked_size	naive_rejections	naive_size
Ivy	0.25	1220	61	0.05	60	0.0491803278689
Ivy	0.5	1220	67	0.0549180327869	83	0.0680327868852
Ivy	0.75	1220	66	0.0540983606557	87	0.0713114754098
Ivy	1.0	1220	64	0.0524590163934	88	0.072131147541
DS03	0.25	800	37	0.04625	98	0.1225
DS03	0.5	800	36	0.045	155	0.19375
DS03	0.75	800	35	0.04375	147	0.18375
DS03	1.0	800	33	0.04125	162	0.2025
Ivy	ALL	4880	258	0.0528688524590163	318	0.0651639344262295
DS03	ALL	3200	141	0.0440625	562	0.175625
