result_id	file	row	column	expected	tolerance
R1-CONCORDANCE	results_reference/supplement_S1.tsv	6	estimate	0.731	0.0005
R1-ECO-CGGA325	results_reference/supplement_S1.tsv	9	estimate	0.939	0.0005
R1-ECO-CGGA693	results_reference/supplement_S1.tsv	10	estimate	0.957	0.0005
R1-PC1	results_reference/supplement_S1.tsv	8	estimate	0.58	0.0005
R1-TRANSFER	results_reference/supplement_S1.tsv	23	estimate	0.175	0.0005
R1-COMPOSITION	results_reference/supplement_S1.tsv	24	estimate	-0.019	0.0005
R2-ALL5	results_reference/supplement_S2.tsv	2	median_balanced_accuracy	0.35	0.0005
R2-CORE3	results_reference/supplement_S2.tsv	3	median_balanced_accuracy	0.474	0.0005
R2-PAN_MVP	results_reference/supplement_S2.tsv	4	median_balanced_accuracy	0.654	0.0005
R2-GEOMX	results_reference/supplement_S2.tsv	5	median_balanced_accuracy	0.602	0.0005
R3-OFF-CARE-K2	results_reference/supplement_S3.tsv	3	estimate	0.761	0.0005
R3-OFF-CARE-UPPER	results_reference/supplement_S3.tsv	4	estimate	0.383	0.0005
R3-OFF-GLASS-K2	results_reference/supplement_S3.tsv	6	estimate	0.59	0.0005
R3-OFF-GLASS-UPPER	results_reference/supplement_S3.tsv	7	estimate	0.321	0.0005
R3-OFF-GSE174554-K2	results_reference/supplement_S3.tsv	9	estimate	0.73	0.0005
R3-OFF-GSE174554-UPPER	results_reference/supplement_S3.tsv	10	estimate	0.506	0.0005
R3-RESIDUAL	results_reference/supplement_S3.tsv	11	estimate	10.622	0.0005
R3-NULL	results_reference/supplement_S3.tsv	12	estimate	3.68	0.0005
R3-ENERGY	results_reference/supplement_S3.tsv	16	estimate	0.092	0.0005
R3-COSINE	results_reference/supplement_S3.tsv	17	estimate	0.915	0.0005
R3-SENSITIVITY	results_reference/supplement_S3.tsv	18	estimate	0.0918	5e-05
R3-GEOMETRY-CARE	results_reference/supplement_S3.tsv	25	estimate	3.329	0.0005
R3-GEOMETRY-GLASS	results_reference/supplement_S3.tsv	26	estimate	3.233	0.0005
R3-GEOMETRY-GSE174554	results_reference/supplement_S3.tsv	27	estimate	4.784	0.0005
R5-2-BULK	results_reference/supplement_S5.tsv	2	CGGA325_MES_rho	0.304	0.0005
R5-2-BULK	results_reference/supplement_S5.tsv	2	CGGA693_MES_rho	0.698	0.0005
R5-3-BULK	results_reference/supplement_S5.tsv	3	CGGA325_MES_rho	0.47	0.0005
R5-3-BULK	results_reference/supplement_S5.tsv	3	CGGA693_MES_rho	0.702	0.0005
R5-4-BULK	results_reference/supplement_S5.tsv	4	CGGA325_MES_rho	-0.121	0.0005
R5-4-BULK	results_reference/supplement_S5.tsv	4	CGGA693_MES_rho	0.443	0.0005
