signature_id	q	world_n	alpha_reachable	naive_only	blocked_only	both	neither	blocked_p_median	naive_p_median
PF4C-B1-004	0.25	20	True	0	1	0	19	0.262	0.2885
PF4C-B1-004	0.5	20	True	0	9	0	11	0.066	0.2645
PF4C-B1-004	0.75	20	True	0	9	0	11	0.062	0.1785
PF4C-B1-004	1.0	20	True	0	20	0	0	0.0215	0.1765
PF4C-B4-007	0.25	20	True	0	0	0	20	0.242	0.3455
PF4C-B4-007	0.5	20	True	0	2	0	18	0.08399999999999999	0.2175
PF4C-B4-007	0.75	20	True	0	17	0	3	0.036	0.321
PF4C-B4-007	1.0	20	True	0	20	0	0	0.003	0.1745
PF4C-B4-029	0.25	20	True	0	0	0	20	0.5355000000000001	0.637
PF4C-B4-029	0.5	20	True	0	0	0	20	0.5525	0.5914999999999999
PF4C-B4-029	0.75	20	True	0	0	0	20	0.28200000000000003	0.4315
PF4C-B4-029	1.0	20	True	0	0	0	20	0.1065	0.2915
PF4C-FINAL-053	0.25	20	False	0	0	0	20	0.2505	0.4795
PF4C-FINAL-053	0.5	20	False	0	0	0	20	0.251	0.4795
PF4C-FINAL-053	0.75	20	False	0	0	0	20	0.564	0.073
PF4C-FINAL-053	1.0	20	False	0	0	0	20	0.5635	0.071
PF4C-FINAL-054	0.25	20	True	0	0	0	20	0.09	0.3625
PF4C-FINAL-054	0.5	20	True	0	0	0	20	0.5025	0.0665
PF4C-FINAL-054	0.75	20	True	0	0	0	20	0.353	0.0775
PF4C-FINAL-054	1.0	20	True	12	0	0	8	0.1905	0.05
PF4C-FINAL-055	0.25	20	True	0	5	0	15	0.138	0.46950000000000003
PF4C-FINAL-055	0.5	20	True	13	0	0	7	0.35850000000000004	0.042499999999999996
PF4C-FINAL-055	0.75	20	True	16	0	0	4	0.2865	0.04
PF4C-FINAL-055	1.0	20	True	19	0	0	1	0.12	0.032
PF4C-FINAL-056	0.25	20	True	0	3	0	17	0.2155	0.5654999999999999
PF4C-FINAL-056	0.5	20	True	0	7	0	13	0.0835	0.2095
PF4C-FINAL-056	0.75	20	True	0	5	0	15	0.092	0.2225
PF4C-FINAL-056	1.0	20	True	0	16	4	0	0.0205	0.099
PF4C-FINAL-079	0.25	20	True	20	0	0	0	0.53	0.0215
PF4C-FINAL-079	0.5	20	True	20	0	0	0	0.5205	0.0285
PF4C-FINAL-079	0.75	20	True	20	0	0	0	0.278	0.0305
PF4C-FINAL-079	1.0	20	True	20	0	0	0	0.24	0.0295
