model_instance_id	publication_id
PF4C-B1-001	POST-PF4B0100
PF4C-B1-002	POST-PF4B0396
PF4C-B1-003	POST-PF4B0072
PF4C-B1-004	POST-PF4B0386
PF4C-B1-005	POST-PF4B0043
PF4C-B1-006	POST-PF4B0381
PF4C-B1-007	POST-PF4B0102
PF4C-B1-008	POST-PF4B0128
PF4C-B1-009	POST-PF4B0039
PF4C-B1-011	POST-PF4B0016
PF4C-B1-012	POST-PF4B0022
PF4C-B1-013	POST-PF4B0083
PF4C-B1-014	POST-PF4B0134
PF4C-B1-015	POST-PF4B0154
PF4C-B1-016	POST-PF4B0051
PF4C-B1-017	POST-PF4B0406
PF4C-B1-019	POST-PF4B0081
PF4C-B1-020	POST-PF4B0391
PF4C-B1-021	POST-PF4B0403
PF4C-B1-024	POST-PF4B0390
PF4C-B1-025	POST-PF4B0151
PF4C-B1-026	POST-PF4B0035
PF4C-B1-027	POST-PF4B0110
PF4C-B1-028	POST-PF4B0019
PF4C-B1-029	POST-PF4B0029
PF4C-B2-001	POST-PF4B0009
PF4C-B2-002	POST-PF4B0011
PF4C-B2-003	POST-PF4B0014
PF4C-B2-005	POST-PF4B0024
PF4C-B2-006	POST-PF4B0027
PF4C-B2-007	POST-PF4B0033
PF4C-B2-008	POST-PF4B0036
PF4C-B2-009	POST-PF4B0040
PF4C-B2-010	POST-PF4B0052
PF4C-B2-013	POST-PF4B0068
PF4C-B2-014	POST-PF4B0070
PF4C-B2-015	POST-PF4B0074
PF4C-B2-016	POST-PF4B0077
PF4C-B2-017	POST-PF4B0084
PF4C-B2-018	POST-PF4B0099
PF4C-B2-019	POST-PF4B0109
PF4C-B2-021	POST-PF4B0115
PF4C-B2-022	POST-PF4B0136
PF4C-B2-023	POST-PF4B0138
PF4C-B2-025	POST-PF4B0048
PF4C-B2-026	POST-PF4B0069
PF4C-B2-027	POST-PF4B0075
PF4C-B2-028	POST-PF4B0085
PF4C-B2-029	POST-PF4B0098
PF4C-B2-030	POST-PF4B0145
PF4C-B3-001	POST-PF4B0054
PF4C-B3-002	POST-PF4B0055
PF4C-B3-003	POST-PF4B0057
PF4C-B3-005	POST-PF4B0061
PF4C-B3-006	POST-PF4B0062
PF4C-B3-007	POST-PF4B0065
PF4C-B3-008	POST-PF4B0066
PF4C-B3-009	POST-PF4B0067
PF4C-B3-010	POST-PF4B0071
PF4C-B3-013	POST-PF4B0078
PF4C-B3-014	POST-PF4B0079
PF4C-B3-015	POST-PF4B0080
PF4C-B3-016	POST-PF4B0082
PF4C-B3-017	POST-PF4B0087
PF4C-B3-018	POST-PF4B0088
PF4C-B3-019	POST-PF4B0089
PF4C-B3-020	POST-PF4B0090
PF4C-B3-021	POST-PF4B0091
PF4C-B3-023	POST-PF4B0093
PF4C-B3-024	POST-PF4B0094
PF4C-B3-025	POST-PF4B0096
PF4C-B3-026	POST-PF4B0097
PF4C-B3-028	POST-PF4B0117
PF4C-B3-029	POST-PF4B0118
PF4C-B3-030	POST-PF4B0119
PF4C-B4-001	POST-PF4B0001
PF4C-B4-002	POST-PF4B0002
PF4C-B4-003	POST-PF4B0003
PF4C-B4-007	POST-PF4B0007
PF4C-B4-009	POST-PF4B0010
PF4C-B4-010	POST-PF4B0012
PF4C-B4-011	POST-PF4B0013
PF4C-B4-012	POST-PF4B0017
PF4C-B4-015	POST-PF4B0021
PF4C-B4-016	POST-PF4B0023
PF4C-B4-017	POST-PF4B0025
PF4C-B4-018	POST-PF4B0026
PF4C-B4-021	POST-PF4B0032
PF4C-B4-023	POST-PF4B0037
PF4C-B4-024	POST-PF4B0038
PF4C-B4-025	POST-PF4B0042
PF4C-B4-026	POST-PF4B0044
PF4C-B4-027	POST-PF4B0045
PF4C-B4-029	POST-PF4B0047
PF4C-B4-030	POST-PF4B0049
PF4C-FINAL-001	POST-PF4B0050
PF4C-FINAL-002	POST-PF4B0053
PF4C-FINAL-003	POST-PF4B0056
PF4C-FINAL-004	POST-PF4B0058
PF4C-FINAL-008	POST-PF4B0105
PF4C-FINAL-009	POST-PF4B0106
PF4C-FINAL-012	POST-PF4B0112
PF4C-FINAL-016	POST-PF4B0120
PF4C-FINAL-017	POST-PF4B0121
PF4C-FINAL-018	POST-PF4B0122
PF4C-FINAL-020	POST-PF4B0124
PF4C-FINAL-022	POST-PF4B0126
PF4C-FINAL-024	POST-PF4B0129
PF4C-FINAL-025	POST-PF4B0130
PF4C-FINAL-026	POST-PF4B0131
PF4C-FINAL-028	POST-PF4B0133
PF4C-FINAL-029	POST-PF4B0135
PF4C-FINAL-032	POST-PF4B0140
PF4C-FINAL-036	POST-PF4B0143
PF4C-FINAL-037	POST-PF4B0144
PF4C-FINAL-039	POST-PF4B0147
PF4C-FINAL-041	POST-PF4B0149
PF4C-FINAL-042	POST-PF4B0150
PF4C-FINAL-043	POST-PF4B0152
PF4C-FINAL-044	POST-PF4B0153
PF4C-FINAL-045	POST-PF4B0155
PF4C-FINAL-046	POST-PF4B0156
PF4C-FINAL-049	POST-PF4B0159
PF4C-FINAL-050	POST-PF4B0160
PF4C-FINAL-051	POST-PF4B0161
PF4C-FINAL-052	POST-PF4B0161
PF4C-FINAL-053	POST-PF4B0162
PF4C-FINAL-054	POST-PF4B0162
PF4C-FINAL-055	POST-PF4B0162
PF4C-FINAL-056	POST-PF4B0162
PF4C-FINAL-057	POST-PF4B0163
PF4C-FINAL-058	POST-PF4B0164
PF4C-FINAL-060	POST-PF4B0166
PF4C-FINAL-061	POST-PF4B0167
PF4C-FINAL-062	POST-PF4B0168
PF4C-FINAL-063	POST-PF4B0169
PF4C-FINAL-065	POST-PF4B0379
PF4C-FINAL-066	POST-PF4B0380
PF4C-FINAL-067	POST-PF4B0382
PF4C-FINAL-068	POST-PF4B0383
PF4C-FINAL-069	POST-PF4B0384
PF4C-FINAL-070	POST-PF4B0385
PF4C-FINAL-071	POST-PF4B0387
PF4C-FINAL-073	POST-PF4B0389
