section	analysis	dataset_or_resource	representation_n	publication_n	patient_or_donor_n	measurement_n	measurement_unit	inferential_unit	held_out_or_exchangeability_unit	observed_statistic	estimate	uncertainty_or_null_summary	denominator_transition	eligibility_or_exclusion_rule	interpretation_boundary
A. Universe	Frozen published-signature universe	Primary GBM signature universe	201	197.0	—	—	Representation	Publication cluster	—	Representations / publications	201 / 197	—	195 publications × 1; 1 × 2; 1 × 4	Frozen Primary membership	Multiple representations from the same publication are dependent.
A. Universe	Molecular overlap	All unordered representation pairs	201	197.0	—	20100.0	Representation pair	Descriptive pair distribution	—	Zero-overlap count; percentage; median Jaccard	19,370 / 20,100; 96.37%; median Jaccard = 0	—	—	—	Sparse membership overlap does not preclude shared score covariance.
B. Bulk reproducibility	Bulk analysis cohort	CGGA325	201	—	73	73.0	Bulk tumor expression sample	Patient	Patient within cohort	Eligible patient count	73	—	325 expression samples → 73 eligible patients	Unique linked primary GBM/WHO IV, IDH-wildtype	Outcome-independent membership scores.
B. Bulk reproducibility	Bulk analysis cohort	CGGA693	201	—	108	108.0	Bulk tumor expression sample	Patient	Patient within cohort	Eligible patient count	108	—	693 expression samples → 108 eligible patients	Unique linked primary GBM/WHO IV, IDH-wildtype	Outcome-independent membership scores.
B. Bulk reproducibility	Cross-cohort score-correlation structure	CGGA325 / CGGA693	201	—	73 / 108	20100.0	Signature pair	Frozen full panel	—	Cross-cohort score-correlation structure	0.7309225783071415	1,000 matched panels: median 0.532; 95% null interval 0.481–0.581; maximum 0.606; P < 0.001	—	—	Endpoint-specific matched-random comparator; no new null generated.
B. Bulk reproducibility	PC1 variance fraction	CGGA325	201	—	73	201.0	Representation	Frozen full panel	—	PC1 variance fraction	0.3399072488743003	1,000 matched panels: median 0.188; 95% null interval 0.163–0.214; maximum 0.229; P < 0.001	—	—	PC1 variance is descriptive, not the main discovery.
B. Bulk reproducibility	PC1 variance fraction	CGGA693	201	—	108	201.0	Representation	Frozen full panel	—	PC1 variance fraction	0.5804900544696167	1,000 matched panels: median 0.642; 95% null interval 0.625–0.657; maximum 0.663; P = 1.000	—	—	PC1 variance is descriptive, not the main discovery.
B. Bulk reproducibility	Absolute PC1–ecology rho	CGGA325	201	—	73	201.0	Representation	Frozen full panel	—	Absolute PC1–ecology rho	0.9390657781068741	1,000 matched panels: median 0.205; 95% null interval 0.053–0.352; maximum 0.444; P < 0.001	—	—	Endpoint-specific matched-random comparator; no new null generated.
B. Bulk reproducibility	Absolute PC1–ecology rho	CGGA693	201	—	108	201.0	Representation	Frozen full panel	—	Absolute PC1–ecology rho	0.9574818752560327	1,000 matched panels: median 0.571; 95% null interval 0.472–0.664; maximum 0.737; P < 0.001	—	—	Endpoint-specific matched-random comparator; no new null generated.
C. Robustness	High-frequency-gene control	CGGA325	201	—	—	—	—	Frozen representation panel	—	Frozen robustness endpoints	PC1 variance explained = 0.340	—	—	—	Frozen sensitivity; no new analysis.
C. Robustness	High-frequency-gene control	CGGA693	201	—	—	—	—	Frozen representation panel	—	Frozen robustness endpoints	PC1 variance explained = 0.580	—	—	—	Frozen sensitivity; no new analysis.
C. Robustness	High-frequency-gene control	cross_cohort	201	—	—	—	—	Frozen representation panel	—	Frozen robustness endpoints	structure concordance = 0.731	—	—	—	Frozen sensitivity; no new analysis.
C. Robustness	Direct ecology-overlap removal	CGGA325	201	—	—	—	—	Frozen representation panel	—	Frozen robustness endpoints	PC1 variance explained = 0.287	—	—	—	Only stored variance/structure endpoints; overlap-removed ecology alignment was not computed.
C. Robustness	Direct ecology-overlap removal	CGGA693	201	—	—	—	—	Frozen representation panel	—	Frozen robustness endpoints	PC1 variance explained = 0.553	—	—	—	Only stored variance/structure endpoints; overlap-removed ecology alignment was not computed.
