analysis	dataset	patient_n	threshold_or_k	statistic	estimate	CI_or_range	null_or_comparator	multiplicity	status	interpretation_boundary
A. Intrinsic dimension	CARE	56	7	Selected k; supported range	7	7–16	—	—	DESCRIPTIVE	Primary-only reference; supported range combines prespecified methods.
B. Dimensional correction	CARE	56	2	Median orthogonal displacement-energy fraction	0.761369297659027	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
B. Dimensional correction	CARE	56	16	Median orthogonal displacement-energy fraction	0.38287436971914457	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
A. Intrinsic dimension	GLASS	111	5	Selected k; supported range	5	3–12	—	—	DESCRIPTIVE	Primary-only reference; supported range combines prespecified methods.
B. Dimensional correction	GLASS	111	2	Median orthogonal displacement-energy fraction	0.5901031458183693	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
B. Dimensional correction	GLASS	111	12	Median orthogonal displacement-energy fraction	0.32072047999642456	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
A. Intrinsic dimension	GSE174554	20	2	Selected k; supported range	2	2–11	—	—	DESCRIPTIVE	Primary-only reference; supported range combines prespecified methods.
B. Dimensional correction	GSE174554	20	2	Median orthogonal displacement-energy fraction	0.7303851226616707	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
B. Dimensional correction	GSE174554	20	11	Median orthogonal displacement-energy fraction	0.5064151789333295	—	k=2 sensitivity versus upper supported k	—	DESCRIPTIVE	Dimension-dependent geometry; k=2 can overstate off-reference displacement. Not a universal biological residual.
C. Finite-cell null	CARE	56	7	Observed median residual magnitude	10.622147455181775	9.923–11.527	Frozen patient-specific sampling null	—	SUPPORTING	Excess is tabulated per patient before taking its median; no new resampling.
C. Finite-cell null	CARE	56	7	Median patient-specific null median	3.6800019805663737	3.396–4.230	Frozen patient-specific sampling null	—	SUPPORTING	Excess is tabulated per patient before taking its median; no new resampling.
C. Finite-cell null	CARE	56	7	Median patient-specific deformation excess	6.221722143246186	5.839–7.264	Frozen patient-specific sampling null	—	SUPPORTING	Excess is tabulated per patient before taking its median; no new resampling.
C. Finite-cell null	CARE	56	7	Above own null 95th percentile	54/56	—	Each patient compared with own frozen null95	—	SUPPORTING	Patient-specific thresholds, not a pooled null threshold.
D. Matched-cell sensitivity	CARE	56	7	Median of patient-level median downsampled residual magnitude	10.693296701492175	—	Frozen matched-cell replicates	—	DESCRIPTIVE	Each patient weighted once after within-patient median; no new cell sampling.
E. Component decomposition	CARE	46	50 cells; k=7	Median composition energy share (NONADDITIVE)	0.09247955248627365	—	At least 2 explicit compartments pass cell threshold	—	DESCRIPTIVE	NONADDITIVE; 1 − share is not an intrinsic fraction; cross-term retained in total energy.
E. Reconstruction validity	CARE	46	50 cells; k=7	Median reconstruction cosine	0.9154384849500012	—	—	—	DESCRIPTIVE	Reconstruction fidelity, not causal attribution.
