S4A. DS03 identity-level evaluability and q100 recovery									
identity	endpoint_count_E	legal_capacity_K_q100	minimum_attainable_exact_P_q100	alpha_reachable_q100	blocked_recovery_q100	naive_recovery_q100	status	limiting_factor	
B1-004	10	4	2.12585034014e-05	Yes	20/20	0/20	RECOVERY_DEMONSTRATED	Recovery applies to the frozen planted alternative; unique-state identity is not established.	
B4-007	10	7	3.32164115646e-07	Yes	20/20	0/20	RECOVERY_DEMONSTRATED	Recovery applies to the frozen planted alternative; unique-state identity is not established.	
B4-029	10	7	3.87524801587e-07	Yes	0/20	0/20	RECOVERY_NOT_DEMONSTRATED	No blocked recovery under the frozen q100 alternative; not biological absence.	
FINAL-053	8	2	0.0625	No	Not evaluable	Not evaluable	NOT_EVALUABLE_AT_ALPHA_0.05	Minimum exact P=0.0625 exceeds alpha=0.05; not a 0/20 failure.	
FINAL-054	11	8	9.68812003968e-08	Yes	0/20	12/20	RECOVERY_NOT_DEMONSTRATED	No blocked recovery under the frozen q100 alternative; not biological absence.	
FINAL-055	11	7	3.32164115646e-07	Yes	0/20	19/20	RECOVERY_NOT_DEMONSTRATED	No blocked recovery under the frozen q100 alternative; not biological absence.	
FINAL-056	12	3	0.00173611111111	Yes	20/20	4/20	RECOVERY_DEMONSTRATED	Recovery applies to the frozen planted alternative; unique-state identity is not established.	
FINAL-079	11	6	1.32865646259e-06	Yes	0/20	20/20	RECOVERY_NOT_DEMONSTRATED	No blocked recovery under the frozen q100 alternative; not biological absence.	
									
S4B. True-null calibration									
dataset	q	blocked_rejections	blocked_null_n	blocked_rate	blocked_95_CI	naive_rejections	naive_null_n	naive_rate	naive_95_CI
DS03	0.25	37	800	0.04625	0.033–0.063	98	800	0.1225	0.101–0.147
DS03	0.5	36	800	0.045	0.032–0.062	155	800	0.19375	0.167–0.223
DS03	0.75	35	800	0.04375	0.031–0.060	147	800	0.18375	0.157–0.212
DS03	1.0	33	800	0.04125	0.029–0.057	162	800	0.2025	0.175–0.232
Ivy	0.25	61	1220	0.05	0.038–0.064	60	1220	0.04918032786885246	0.038–0.063
Ivy	0.5	67	1220	0.05491803278688524	0.043–0.069	83	1220	0.0680327868852459	0.055–0.084
Ivy	0.75	66	1220	0.054098360655737705	0.042–0.068	87	1220	0.07131147540983607	0.058–0.087
Ivy	1.0	64	1220	0.05245901639344262	0.041–0.066	88	1220	0.07213114754098361	0.058–0.088
									
S4C. Planted-positive inferential-reference disagreement									
universe	NAIVE_ONLY	BLOCKED_ONLY	BOTH	NEITHER	NOT_EVALUABLE	TOTAL			
Complete all-q	140	114	4	302	80	640			
Exact-alpha-reachable all-q	140	114	4	302	0	560			
Complete q100	51	56	4	29	20	160			
Exact-alpha-reachable q100	51	56	4	29	0	140			
									
S4D. Ivy qualification summary									
dataset	q	eligible_identities	complete_recovery_identities	complete_recovery_fraction	planted_world_n	blocked_detected_world_n	interpretation_boundary		
Ivy GAP	0.25	61	0	0/61	1220	506	Transported tissue-scope identities; complete recovery means 20/20 frozen worlds.		
Ivy GAP	0.5	61	5	5/61	1220	833	Transported tissue-scope identities; complete recovery means 20/20 frozen worlds.		
Ivy GAP	0.75	61	30	30/61	1220	1011	Transported tissue-scope identities; complete recovery means 20/20 frozen worlds.		
Ivy GAP	1.0	61	42	42/61	1220	1115	Transported tissue-scope identities; complete recovery means 20/20 frozen worlds.		
									
